id,type,status,reference,source_location_id,dest_location_id,created_by,created_at,updated_at
dd1df583-cff7-4e54-83ba-6c3d8ba06db5,delivery,completed,DLV-20260314-0001,2f47750d-b7e3-43a5-bf0a-bd5220405c4d,,00000000-0000-0000-0000-000000000000,2025-05-26 09:01:53,2025-05-26 09:01:53
306e9682-17f4-4d5b-a57f-24e324230f3b,delivery,completed,DLV-20260314-0002,ceb9fc02-5a7c-4f8c-a8bb-cc44c72f82f6,,00000000-0000-0000-0000-000000000000,2025-11-06 09:01:53,2025-11-06 09:01:53
40b1595a-9c94-4a09-90a5-5fe1d421ec82,delivery,completed,DLV-20260314-0003,dadcdd55-34c0-4c07-b7d4-efdc87cd3f54,,00000000-0000-0000-0000-000000000000,2025-11-08 09:01:53,2025-11-08 09:01:53
15a4d79f-1e6f-45d6-95a9-b1b67465bd70,receipt,confirmed,RCP-20260314-0001,,fe2313a6-345c-4698-a823-70cf8dc4fabb,00000000-0000-0000-0000-000000000000,2025-06-08 09:01:53,2025-06-08 09:01:53
499ebe9b-ea2b-4461-9a39-cedef235d705,receipt,completed,RCP-20260314-0002,,ea93f832-860e-42dd-82b2-7b6e8cac36a1,00000000-0000-0000-0000-000000000000,2025-09-16 09:01:53,2025-09-16 09:01:53
a82f28fc-dfdf-49f9-ad5e-8a152247d3bf,receipt,completed,RCP-20260314-0003,,5758ae10-7542-4934-8a5d-35646fb2c1c8,00000000-0000-0000-0000-000000000000,2026-01-30 09:01:53,2026-01-30 09:01:53
e23c930b-6b65-42e9-a63e-5358c20ce0ac,delivery,completed,DLV-20260314-0004,be6ec0e3-ee87-4722-a2dd-b7be6e6e0de4,,00000000-0000-0000-0000-000000000000,2025-11-25 09:01:53,2025-11-25 09:01:53
ae3d35bb-ab57-4bec-9373-46c67e4e2584,delivery,completed,DLV-20260314-0005,f0523488-69c8-4cd9-9fa2-7dadcaa12410,,00000000-0000-0000-0000-000000000000,2025-06-13 09:01:53,2025-06-13 09:01:53
551165c0-7621-4689-8ce6-78cd1f19d0df,delivery,completed,DLV-20260314-0006,e6026063-8e6d-4efa-b584-769b1aee8c22,,00000000-0000-0000-0000-000000000000,2025-10-23 09:01:53,2025-10-23 09:01:53
11fe3446-484a-456c-86ee-a4259e820fbf,adjustment,completed,ADJ-20260314-0001,55e2b9f5-ade2-4df4-99ce-9096c97e628f,,00000000-0000-0000-0000-000000000000,2026-01-02 09:01:53,2026-01-02 09:01:53
1b6390fd-6897-4600-8900-df14bbccad76,transfer,draft,TRF-20260314-0001,297dbd76-cd16-4a30-b644-256616f406eb,df64ce08-782f-4e73-811f-cb1b8e3e4832,00000000-0000-0000-0000-000000000000,2025-09-29 09:01:53,2025-09-29 09:01:53
62ddb293-9446-4670-9582-45aefa9a7f7e,receipt,completed,RCP-20260314-0004,,c83c8321-1786-4ad7-a172-53a5993d1354,00000000-0000-0000-0000-000000000000,2025-03-20 09:01:53,2025-03-20 09:01:53
8fb2badb-7c0b-4a55-96e0-9e197dee1f59,delivery,completed,DLV-20260314-0007,febef844-beb2-4527-857d-b945b775365e,,00000000-0000-0000-0000-000000000000,2025-06-08 09:01:53,2025-06-08 09:01:53
a55d62b6-aace-4276-8d07-2f7b1f6fd73d,transfer,completed,TRF-20260314-0002,ec964784-ebb3-4b2b-a3f8-eb73f0069b44,e5dcb91e-da68-47e5-8756-a0ac73647547,00000000-0000-0000-0000-000000000000,2026-02-04 09:01:53,2026-02-04 09:01:53
b0cee83e-d596-4d66-8411-e96422653580,delivery,completed,DLV-20260314-0008,0a1a60fb-5d04-43b0-9a56-3afb1f437c87,,00000000-0000-0000-0000-000000000000,2025-05-12 09:01:53,2025-05-12 09:01:53
d9b43c6c-ac45-4ef8-b5e3-d0179b179a32,transfer,completed,TRF-20260314-0003,5822d164-dfea-465a-b7a8-d753bebcf799,3c7d3961-7aa1-47cc-9760-9cd327981698,00000000-0000-0000-0000-000000000000,2025-04-30 09:01:53,2025-04-30 09:01:53
f32c2263-0ea4-4ed9-8c1f-25d0b669fc37,transfer,completed,TRF-20260314-0004,d25e4274-314c-4b1b-9528-fa8260c02502,814488c8-f0f1-4995-b936-b4e8e9f00a67,00000000-0000-0000-0000-000000000000,2025-05-08 09:01:53,2025-05-08 09:01:53
bd16c97b-5ff2-489a-982c-1e51a7cc1741,receipt,draft,RCP-20260314-0005,,3bafcbfb-9e28-4747-808c-d610b26c9253,00000000-0000-0000-0000-000000000000,2025-06-17 09:01:53,2025-06-17 09:01:53
b479c7fb-be91-4bb9-842f-ef94ae3b62e0,receipt,completed,RCP-20260314-0006,,01315395-4f84-442a-b5da-accdca87c385,00000000-0000-0000-0000-000000000000,2026-02-15 09:01:53,2026-02-15 09:01:53
0938384b-26d6-435f-b744-ba35aeae2cd7,delivery,draft,DLV-20260314-0009,6116449b-badd-4e89-b8e9-1f06c3f35019,,00000000-0000-0000-0000-000000000000,2025-08-24 09:01:53,2025-08-24 09:01:53
3399f9b6-807c-4c57-a13a-aefbc20471d7,receipt,draft,RCP-20260314-0007,,055ccdbb-8eae-4ef7-a375-2d35c0416420,00000000-0000-0000-0000-000000000000,2025-06-19 09:01:53,2025-06-19 09:01:53
af01fc9e-c777-44cd-8924-259ec96c8505,transfer,completed,TRF-20260314-0005,fe8f9ed0-1018-47c6-9c19-4e1a3d6a976a,dd6a1568-aa9f-4195-973b-7602c14cbd66,00000000-0000-0000-0000-000000000000,2025-03-17 09:01:53,2025-03-17 09:01:53
b7f2903a-d14c-46ae-8d59-8436f88279b7,delivery,confirmed,DLV-20260314-0010,b2a98644-6651-4e04-82d0-902c73d59a1a,,00000000-0000-0000-0000-000000000000,2025-06-15 09:01:53,2025-06-15 09:01:53
91a59ff6-1394-45ed-97ea-160d079af187,delivery,completed,DLV-20260314-0011,321afa7a-e016-46ba-b853-1feaa10fc9f7,,00000000-0000-0000-0000-000000000000,2025-12-14 09:01:53,2025-12-14 09:01:53
